Site,Reporting period,Males tested,Females non-pregnant,Females pregnant,Children below 12 mths (Age group A),Children 12 mths - 14 yrs (Age group B),Young adults 15-24 years (Age group C),Older adults 25+ yrs (Age group D),PITC,Family Referral Slip (FRS),"Other (VCT, etc_) HTC access",Never tested before,Last negative,Last positive,Last exposed infant,Last inconclusive,Counseled with partner / partner present,Counseled alone / Partner not present,Single test negative,Single test positive,Test 1&2 negative,Test 1&2 positive,Test 1&2 discordant,New negative,New positive,New exposed infants,New inconclusive,Confirmatory positive,Confirmatory inconclusive
Dzunje Dispensary,201706,67,58,43,0,10,52,106,120,0,48,50,106,5,7,0,67,101,158,0,0,10,0,158,5,0,0,5,0
Masasa Health Centre,201704,4,12,0,0,0,8,8,1,0,15,1,15,0,0,0,2,14,16,0,0,0,0,16,0,0,0,0,0
Masasa Health Centre,201705,5,3,0,0,0,0,8,2,0,6,4,2,2,0,0,2,6,4,0,0,4,0,4,2,0,0,2,0
Masasa Health Centre,201706,9,10,0,0,1,9,9,2,0,17,4,14,1,0,0,1,18,17,0,0,2,0,17,0,1,0,0,1
Matanda Health Centre,201704,16,6,40,0,1,32,29,59,0,3,22,38,2,0,0,24,38,56,0,0,5,1,56,2,0,1,3,0
Matanda Health Centre,201705,12,4,32,0,4,22,22,42,0,6,18,28,2,0,0,9,39,45,0,0,3,0,45,1,0,0,2,0
Matanda Health Centre,201706,26,11,92,0,2,73,54,121,0,8,28,98,3,0,0,41,88,125,0,0,4,0,125,1,0,0,3,0
Gowa Heath Centre,201704,44,56,34,1,11,60,62,70,1,63,46,84,4,0,0,48,86,125,0,0,8,1,125,4,0,1,4,0
Gowa Heath Centre,201705,40,52,45,0,9,63,65,83,2,52,30,105,2,0,0,59,78,132,0,1,4,0,133,2,0,0,2,0
Gowa Heath Centre,201706,39,60,30,1,5,61,62,70,0,59,30,96,3,0,0,48,81,123,0,0,6,0,123,3,0,0,3,0
Mlanda Health Centre,201704,56,67,25,2,12,58,76,87,0,61,57,82,9,0,0,57,91,130,0,0,18,0,130,9,0,0,9,0
Mlanda Health Centre,201705,51,119,30,0,7,89,104,130,1,69,83,114,3,0,0,53,147,194,0,0,6,0,194,3,0,0,3,0
Mlanda Health Centre,201706,51,131,21,0,19,114,70,80,1,122,110,89,4,0,0,59,144,195,0,0,8,0,195,4,0,0,4,0
Senzani Health Centre,201704,111,85,13,0,37,83,89,98,1,110,58,146,5,0,0,11,198,198,0,0,10,1,198,5,0,1,5,0
Senzani Health Centre,201705,77,95,19,1,20,101,69,101,4,86,45,138,8,0,0,18,173,175,0,0,15,1,175,7,0,1,8,0
Senzani Health Centre,201706,47,73,8,0,2,51,75,52,6,70,13,109,6,0,0,22,106,117,0,0,11,0,117,5,0,0,6,0
Mlangeni Health Centre,201704,96,89,61,7,29,113,97,177,2,67,61,176,9,0,0,135,111,231,0,0,15,0,231,6,0,0,9,0
Mlangeni Health Centre,201705,247,96,91,4,25,218,187,319,11,104,148,277,9,0,0,155,279,417,0,0,17,0,417,8,0,0,9,0
Mlangeni Health Centre,201706,102,59,69,1,20,106,103,169,3,58,39,181,10,0,0,123,107,210,0,0,20,0,210,10,0,0,10,0
Manjawira Maternity,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manjawira Maternity,201705,27,23,18,0,2,27,39,33,0,35,11,53,4,0,0,30,38,59,0,0,9,0,59,5,0,0,4,0
Manjawira Maternity,201706,22,4,23,0,1,22,26,34,0,15,24,21,4,0,0,25,24,40,0,0,9,0,40,5,0,0,4,0
Biriwiri Health Centre,201704,379,396,124,1,442,253,203,800,0,99,587,289,23,0,0,173,726,859,0,0,39,1,859,16,0,1,23,0
Biriwiri Health Centre,201705,496,592,140,2,669,293,264,1034,4,190,833,369,25,0,1,168,1060,1182,0,0,46,0,1182,21,0,0,25,0
Biriwiri Health Centre,201706,312,421,124,2,282,314,259,623,0,234,436,401,20,0,0,167,690,821,0,0,36,0,821,16,0,0,20,0
Champiti Health Centre,201704,51,70,27,1,17,67,63,45,0,103,24,119,5,0,0,28,120,137,0,0,10,1,137,5,0,1,5,0
Champiti Health Centre,201705,63,64,34,0,14,70,77,60,0,101,19,137,5,0,0,42,119,151,0,0,10,0,151,5,0,0,5,0
Champiti Health Centre,201706,64,94,35,2,18,86,87,51,1,141,31,158,4,0,0,40,153,185,0,0,8,0,185,4,0,0,4,0
Kalimanjira Health Centre,201704,37,16,30,0,2,32,49,83,0,0,17,62,4,0,0,55,28,74,0,0,9,0,74,5,0,0,4,0
Kalimanjira Health Centre,201705,5,3,0,0,0,2,6,8,0,0,1,6,1,0,0,2,6,6,0,0,2,0,6,1,0,0,1,0
Kalimanjira Health Centre,201706,6,3,7,0,0,9,7,16,0,0,5,10,1,0,0,12,4,14,0,0,2,0,14,1,0,0,1,0
Fpam Clinic Ntcheu,201704,99,96,7,0,2,72,128,37,3,162,39,141,21,0,1,14,188,162,0,0,40,0,162,19,0,0,21,0
Fpam Clinic Ntcheu,201705,136,113,7,0,3,117,136,33,2,221,37,204,15,0,0,24,232,228,0,0,26,2,228,11,0,2,15,0
Fpam Clinic Ntcheu,201706,112,115,3,0,4,84,142,36,0,194,32,181,17,0,0,38,192,201,0,0,28,1,201,11,0,1,17,0
Chiradzulu District Hospital,201704,180,193,216,1,40,233,315,364,16,209,135,374,80,0,0,69,520,442,0,2,145,0,444,65,0,0,80,0
Chiradzulu District Hospital,201705,238,224,269,0,49,280,402,500,38,193,184,458,89,0,0,131,600,565,0,3,163,0,568,74,0,0,89,0
Chiradzulu District Hospital,201706,331,359,223,2,79,507,325,415,61,437,269,567,77,0,0,121,792,759,0,0,154,0,759,77,0,0,77,0
St Joseph Mission Hospital Nguludi,201704,168,225,149,0,75,172,295,371,1,170,237,255,49,0,1,93,449,451,0,0,90,1,451,41,0,0,49,1
St Joseph Mission Hospital Nguludi,201705,212,278,130,0,99,200,321,405,0,215,151,410,58,0,1,124,496,525,0,0,94,1,525,36,0,0,58,1
St Joseph Mission Hospital Nguludi,201706,158,286,53,0,73,146,278,351,0,146,115,342,39,0,1,87,410,421,0,0,73,3,421,34,0,3,39,0
Bilal Clinic,201704,34,24,11,0,13,18,38,47,0,22,13,45,11,0,0,1,68,47,0,0,22,0,47,10,0,0,12,0
Bilal Clinic,201705,65,71,6,0,28,38,76,51,0,91,22,103,17,0,0,10,132,109,0,0,33,0,109,16,0,0,17,0
Bilal Clinic,201706,49,86,10,0,29,30,86,51,0,94,33,91,21,0,0,20,125,102,0,0,42,1,102,21,0,1,21,0
Chitera Health Centre,201704,55,56,31,0,17,46,79,77,0,65,29,102,10,0,1,24,118,111,0,3,18,10,123,8,0,1,10,0
Chitera Health Centre,201705,39,47,25,0,4,40,67,58,1,52,17,89,5,0,0,7,104,101,0,1,8,1,103,3,0,0,0,5
Chitera Health Centre,201706,44,58,29,2,10,44,75,80,1,50,26,94,10,0,1,16,115,109,0,2,19,1,112,9,0,0,0,10
Mauwa Health Centre,201704,47,61,62,1,17,66,86,93,0,77,39,124,6,1,0,38,132,155,0,0,14,1,155,6,1,1,7,0
Mauwa Health Centre,201705,106,101,88,0,34,111,150,145,2,148,90,189,16,0,0,64,231,265,0,1,29,0,265,14,0,0,16,0
Mauwa Health Centre,201706,62,86,47,0,16,71,108,76,3,116,38,145,12,0,0,29,166,171,0,0,24,0,171,12,0,0,12,0
Mbulumbuzi Health Centre,201704,82,109,77,0,27,127,114,103,10,155,78,173,17,0,0,21,247,236,0,0,32,0,236,15,0,0,17,0
Mbulumbuzi Health Centre,201705,102,110,94,1,28,117,160,129,0,177,33,256,17,0,0,19,287,274,0,0,32,0,274,15,0,0,17,0
Mbulumbuzi Health Centre,201706,45,57,76,1,15,70,92,85,11,82,44,118,13,3,0,17,161,150,0,0,28,0,150,15,0,0,13,0
Milepa Health Centre,201704,71,85,92,0,36,113,99,124,0,124,41,189,17,1,0,41,207,213,0,0,32,3,213,15,0,2,18,0
Milepa Health Centre,201705,100,146,161,0,53,143,211,214,0,193,49,343,15,0,0,57,350,374,0,0,30,3,374,15,0,3,15,0
Milepa Health Centre,201706,124,218,95,0,64,188,185,145,10,282,64,354,19,0,0,44,393,393,0,4,38,2,398,18,0,2,19,0
Namadzi Health Centre,201704,74,93,68,0,27,98,110,102,0,133,48,167,20,0,0,42,193,197,0,0,38,0,197,18,0,0,20,0
Namadzi Health Centre,201705,107,148,92,0,18,139,190,161,2,184,56,259,32,0,0,57,290,281,0,0,63,3,281,31,0,3,32,0
Namadzi Health Centre,201706,69,126,66,0,24,82,155,113,1,147,51,186,23,0,1,47,214,215,0,0,45,1,215,22,0,1,23,0
Namitambo Health Centre,201704,79,79,104,0,37,112,113,187,0,75,72,171,19,0,0,41,221,219,0,5,37,1,224,18,0,0,19,1
Namitambo Health Centre,201705,114,124,127,1,50,135,179,231,2,132,85,243,37,0,0,45,320,290,0,1,74,0,290,37,1,0,37,0
Namitambo Health Centre,201706,107,138,103,0,47,144,157,187,0,161,86,237,25,0,0,43,305,298,0,0,50,0,298,25,0,0,25,0
Ndunde Health Centre,201704,59,97,64,1,23,99,97,103,0,117,88,120,12,0,0,22,198,193,0,0,25,2,193,12,0,2,13,0
Ndunde Health Centre,201705,69,64,65,0,23,84,91,95,0,103,93,89,16,0,0,19,179,166,0,0,32,0,166,16,0,0,16,0
Ndunde Health Centre,201706,80,102,79,0,24,112,125,114,0,147,102,140,19,0,0,27,234,223,0,0,38,0,223,19,0,0,19,0
Nkalo Health Centre,201704,69,73,35,0,20,48,109,112,10,55,61,90,26,0,0,25,152,129,0,0,48,0,129,22,0,0,26,0
Nkalo Health Centre,201705,92,113,39,0,35,75,134,144,10,90,94,117,33,0,0,0,244,188,0,0,56,0,188,23,0,0,33,0
Nkalo Health Centre,201706,66,78,34,0,23,66,89,118,4,56,43,117,18,0,0,22,156,146,0,0,31,1,146,12,0,0,19,1
Thumbwe Health Centre,201704,76,95,91,0,31,122,109,135,0,127,67,183,12,0,0,28,234,239,0,0,23,0,239,11,0,0,12,0
Thumbwe Health Centre,201705,64,89,165,0,20,163,135,206,0,112,57,247,14,0,0,31,287,290,0,0,28,0,290,14,0,0,14,0
Thumbwe Health Centre,201706,55,85,83,0,30,99,94,120,0,103,51,164,8,0,0,17,206,207,0,0,16,0,207,8,0,0,8,0
Akasale Private Cinic,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akasale Private Cinic,201705,2,3,0,0,1,1,3,0,0,5,3,2,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0
Akasale Private Cinic,201706,2,3,0,0,1,0,4,0,0,5,0,5,0,0,0,0,5,4,0,0,1,0,4,1,0,0,0,0
Pim Health Centre,201704,12,14,8,0,1,14,19,13,0,21,3,31,0,0,0,0,34,33,0,0,1,0,33,1,0,0,0,0
Pim Health Centre,201705,17,33,14,0,5,17,42,32,0,32,47,16,1,0,0,0,64,59,0,0,5,0,59,4,0,0,1,0
Pim Health Centre,201706,7,10,9,0,3,9,14,9,0,17,6,20,0,0,0,0,26,25,0,0,1,0,25,1,0,0,0,0
Bangwe Health Centre,201704,351,374,191,2,93,379,442,525,27,364,226,584,103,0,3,94,822,707,0,6,203,0,713,100,0,0,103,0
Bangwe Health Centre,201705,623,281,262,0,260,513,393,934,13,219,508,554,104,0,0,93,1073,964,0,7,194,1,971,90,0,1,104,0
Bangwe Health Centre,201706,305,357,290,3,77,409,463,603,20,329,205,636,108,1,2,84,868,744,0,2,206,0,745,98,1,0,108,0
Chilomoni Health Centre,201704,434,471,173,0,48,576,454,419,0,659,185,798,92,0,3,982,96,895,0,0,178,5,895,86,0,2,92,3
Chilomoni Health Centre,201705,559,409,164,0,147,457,528,468,5,659,299,730,100,1,2,79,1053,949,0,0,181,2,949,85,0,0,95,3
Chilomoni Health Centre,201706,822,307,209,0,304,551,483,443,0,895,588,655,94,0,1,94,1244,1173,0,0,164,1,1173,70,0,1,94,0
Limbe Health Centre,201704,598,718,404,0,105,702,913,1122,16,582,371,1138,211,0,0,162,1558,1329,0,0,386,5,1329,175,0,5,211,0
Limbe Health Centre,201705,651,854,501,1,105,898,1002,1400,40,566,431,1373,202,0,0,218,1788,1581,0,0,424,1,1581,222,0,1,202,0
Limbe Health Centre,201706,516,693,373,0,92,661,829,1055,46,481,318,1074,190,0,0,168,1414,1254,0,1,327,0,1254,138,0,0,189,1
Mlambe Mission Hospital,201704,212,320,81,1,99,114,399,439,0,174,265,250,96,2,0,94,519,458,0,0,155,0,458,59,0,0,96,0
Mlambe Mission Hospital,201705,204,303,85,3,77,115,397,412,0,180,114,386,90,2,0,105,487,443,0,0,145,4,443,55,0,4,90,0
Mlambe Mission Hospital,201706,205,288,85,1,67,127,383,401,1,176,92,389,97,0,0,104,474,410,0,0,168,0,410,71,0,0,97,0
Ndirande Health Centre,201704,323,373,302,2,78,418,500,609,68,321,200,690,107,0,1,114,884,802,0,1,194,1,803,87,0,1,107,0
Ndirande Health Centre,201705,788,667,368,1,84,758,980,1090,50,683,336,1360,127,0,0,124,1699,1557,0,1,259,6,1558,132,0,6,127,0
Ndirande Health Centre,201706,328,326,296,3,57,369,521,579,58,313,197,652,101,0,0,102,848,765,0,2,181,2,767,80,0,2,101,0
Queen Elizabeth Central Hospital,201704,1363,2431,150,38,533,1036,2337,2988,10,946,1136,2409,395,3,1,370,3574,3169,0,1,763,11,3169,356,15,7,395,2
Queen Elizabeth Central Hospital,201705,1451,2744,157,55,554,1098,2645,3242,21,1089,1129,2879,337,6,1,419,3933,3689,0,0,655,8,3691,312,6,6,337,0
Queen Elizabeth Central Hospital,201706,1321,2128,167,30,392,906,2288,2622,49,945,936,2394,281,1,4,345,3271,3071,0,1,537,7,3071,255,2,4,281,3
Masm Medi Clinic Limbe,201704,19,17,0,0,4,9,23,21,0,15,28,8,0,0,0,0,36,32,0,0,4,0,32,4,0,0,0,0
Masm Medi Clinic Limbe,201705,11,17,0,0,2,3,23,12,0,16,23,5,0,0,0,0,28,25,0,0,3,0,25,3,0,0,0,0
Masm Medi Clinic Limbe,201706,11,14,0,0,0,0,25,13,0,12,20,5,0,0,0,0,25,21,0,0,4,0,21,4,0,0,0,0
Blantyre Adventist Hospital,201704,7,7,0,0,1,0,13,8,0,6,1,10,3,0,0,2,12,9,0,0,5,0,9,2,0,0,3,0
Blantyre Adventist Hospital,201705,8,9,4,0,1,2,18,5,0,16,18,0,3,0,0,12,9,16,0,0,5,0,16,2,0,0,3,0
Blantyre Adventist Hospital,201706,4,12,0,0,3,0,13,4,0,12,4,11,1,0,0,2,14,14,0,0,2,0,14,1,0,0,1,0
Blantyre Water Board Clinic,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blantyre Water Board Clinic,201705,2,1,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0
Blantyre Water Board Clinic,201706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitawira Private Hospital,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitawira Private Hospital,201705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitawira Private Hospital,201706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicare City Centre Clinic / City Centre Clinic / Makadam Pvt Clinic,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicare City Centre Clinic / City Centre Clinic / Makadam Pvt Clinic,201705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicare City Centre Clinic / City Centre Clinic / Makadam Pvt Clinic,201706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chichiri Escom Clinic,201704,4,3,0,0,0,0,7,0,0,7,2,5,0,0,0,0,7,7,0,0,0,0,7,0,0,0,0,0
Chichiri Escom Clinic,201705,5,0,0,0,0,1,4,1,0,4,1,4,0,0,0,1,4,4,0,0,1,0,4,1,0,0,0,0
Chichiri Escom Clinic,201706,4,0,0,0,0,1,3,1,0,3,1,3,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0
Press Cooperation Clinic,201704,1,1,0,0,0,1,1,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0
Press Cooperation Clinic,201705,3,2,0,0,0,2,3,0,0,5,0,3,2,0,0,0,5,3,0,0,2,0,3,0,0,0,2,0
Press Cooperation Clinic,201706,1,1,0,0,0,0,2,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0
Lafarge Cement Clinic,201704,2,1,1,0,0,4,0,4,0,0,2,2,0,0,0,0,4,3,0,0,1,0,3,1,0,0,0,0
Lafarge Cement Clinic,201705,8,6,0,0,0,10,4,0,0,14,2,12,0,0,0,0,14,14,0,0,0,0,14,0,0,0,0,0
Lafarge Cement Clinic,201706,1,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0
Carlsberg / Sobo Clinic Blantyre,201704,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Carlsberg / Sobo Clinic Blantyre,201705,2,1,0,0,0,1,2,0,0,3,0,3,0,0,0,0,3,2,0,0,1,0,2,1,0,0,0,0
Carlsberg / Sobo Clinic Blantyre,201706,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0
Mtengoumodzi Private Hospital,201704,2,0,2,0,0,0,4,2,0,2,4,0,0,0,0,1,3,2,1,0,1,0,2,1,0,0,1,0
Mtengoumodzi Private Hospital,201705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limbe Diagnostic Centre,201704,6,4,0,0,0,1,9,3,0,7,9,0,1,0,0,4,6,0,0,8,2,0,8,1,0,0,1,0
Limbe Diagnostic Centre,201705,11,1,0,0,0,2,10,11,0,1,7,5,0,0,0,5,7,12,0,0,0,0,12,0,0,0,0,0
Limbe Diagnostic Centre,201706,14,6,0,0,5,2,13,8,0,12,12,8,0,0,0,0,20,19,0,0,1,0,19,1,0,0,0,0
Blantyre City Assembly Clinic,201704,6,8,21,1,3,11,20,25,0,10,5,23,7,0,0,7,28,22,0,0,13,0,22,6,0,0,7,0
Blantyre City Assembly Clinic,201705,4,8,29,0,3,24,14,32,0,9,5,33,3,0,0,2,39,35,0,0,6,0,35,3,0,0,3,0
Blantyre City Assembly Clinic,201706,21,15,19,0,13,24,18,20,0,35,35,16,4,0,0,0,55,48,0,0,7,0,48,3,0,0,4,0
Polytechnic Blantyre,201704,10,4,0,0,0,9,5,0,0,14,0,14,0,0,0,2,12,14,0,0,0,0,14,0,0,0,0,0
Polytechnic Blantyre,201705,3,1,0,0,0,2,2,0,0,4,2,2,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0
Polytechnic Blantyre,201706,10,10,0,0,0,6,14,0,0,20,4,13,3,0,0,2,18,15,0,0,5,0,15,2,0,0,3,0
Macro Blantyre,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macro Blantyre,201705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macro Blantyre,201706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blm Lunzu,201704,86,101,0,0,4,62,121,23,0,164,3,173,11,0,0,52,135,164,0,0,22,1,164,11,0,1,11,0
Blm Lunzu,201705,58,50,1,0,4,37,68,11,0,98,5,95,9,0,0,26,83,92,0,0,17,0,92,8,0,0,9,0
Blm Lunzu,201706,103,104,30,0,5,82,150,54,0,183,16,203,18,0,0,56,181,195,0,0,40,2,195,19,0,2,21,0
Blantyre Dream Project,201704,14,21,0,1,26,2,6,27,4,4,1,18,4,12,0,1,34,29,0,0,6,0,30,1,0,0,4,0
Blantyre Dream Project,201705,31,21,2,0,42,0,12,41,3,10,7,33,6,8,0,1,53,53,0,0,1,0,47,1,0,0,6,0
Blantyre Dream Project,201706,13,24,0,0,28,1,8,25,4,8,4,17,2,14,0,0,37,34,0,0,3,0,33,1,0,0,3,0
Mpemba Health Centre,201704,122,146,119,0,24,178,185,230,11,146,55,291,38,3,0,29,358,321,0,0,66,0,321,28,0,0,38,0
Mpemba Health Centre,201705,133,146,113,0,29,175,188,255,13,124,66,278,47,1,0,47,345,313,0,0,79,0,313,32,0,0,47,0
Mpemba Health Centre,201706,120,137,112,0,11,170,188,198,27,144,64,276,25,4,0,36,333,306,0,0,62,1,307,37,0,0,25,0
Chileka Health Centre Blantyre,201704,148,181,273,0,52,244,306,410,6,186,97,435,65,4,1,66,536,492,0,0,108,2,492,43,0,2,65,0
Chileka Health Centre Blantyre,201705,242,248,273,2,41,309,411,436,3,324,176,509,78,0,0,100,663,607,0,0,156,0,606,78,1,0,78,0
Chileka Health Centre Blantyre,201706,193,159,217,0,31,216,322,383,1,185,110,388,71,0,0,75,494,444,0,0,125,0,444,55,0,0,70,0
Mwachira Private Clinic,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mwachira Private Clinic,201705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mwachira Private Clinic,201706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central East African Railways Clinic,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central East African Railways Clinic,201705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central East African Railways Clinic,201706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limbe Leaf Tobacco Clinic Limbe,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limbe Leaf Tobacco Clinic Limbe,201705,4,6,0,0,0,1,9,3,0,7,0,10,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0
Limbe Leaf Tobacco Clinic Limbe,201706,5,3,0,0,0,0,8,3,0,5,0,7,1,0,0,0,8,7,0,0,1,0,7,0,0,0,1,0
Malmed Private Clinic,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malmed Private Clinic,201705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malmed Private Clinic,201706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyambadwe Private Hospital,201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nyambadwe Private Hospital,201705,4,3,0,0,0,2,5,6,0,1,4,3,0,0,0,4,3,7,0,0,0,0,7,0,0,0,0,0
Nyambadwe Private Hospital,201706,6,5,0,0,0,2,9,8,0,3,2,8,1,0,0,5,6,8,0,0,3,0,8,2,0,0,1,0
Mdeka Health Centre,201704,120,297,78,0,25,217,253,210,10,275,54,403,33,5,0,114,381,438,0,1,55,1,439,22,0,1,33,0
Mdeka Health Centre,201705,178,160,131,0,24,175,270,288,5,176,64,345,45,14,1,162,307,390,0,0,77,2,390,32,0,2,45,0
Mdeka Health Centre,201706,165,231,112,0,26,227,255,265,13,230,90,373,38,6,1,153,355,446,0,0,61,1,446,23,0,1,38,0
Chikowa Health Centre,201704,134,178,59,0,23,189,159,211,0,160,103,253,15,0,0,31,340,340,0,0,29,2,340,14,0,2,15,0
Chikowa Health Centre,201705,91,138,91,1,14,142,163,223,0,97,47,249,22,1,1,29,291,269,0,0,41,10,269,19,0,10,22,0
Chikowa Health Centre,201706,135,212,66,0,38,209,166,263,0,150,117,271,18,7,0,26,387,380,0,0,32,1,380,14,0,1,18,0
Madziabango Health Centre,201704,74,186,54,0,23,137,154,186,7,121,31,258,24,0,1,22,292,275,0,0,36,3,275,12,0,3,24,0
Madziabango Health Centre,201705,90,247,63,0,23,196,181,212,9,179,47,329,23,0,1,26,374,357,0,0,39,4,356,16,0,4,23,1
Madziabango Health Centre,201706,107,142,59,1,15,139,153,134,9,165,36,255,17,0,0,36,272,275,0,0,32,1,275,15,0,1,17,0
Dziwe Health Centre,201704,494,181,51,0,190,339,197,473,0,253,462,257,7,0,0,27,699,707,0,0,18,1,707,11,0,1,7,0
Dziwe Health Centre,201705,182,219,35,0,21,205,210,90,0,346,60,361,15,0,0,15,421,406,0,0,30,0,406,15,0,0,15,0
Dziwe Health Centre,201706,64,89,48,0,14,99,88,103,0,98,31,154,16,0,0,21,180,173,0,0,27,1,173,11,0,1,16,0
Lirangwe Health Centre,201704,134,259,136,0,48,250,231,210,4,315,159,332,38,0,0,32,497,450,0,0,79,0,450,41,0,0,38,0
Lirangwe Health Centre,201705,80,123,176,0,24,180,175,228,1,150,91,261,27,0,0,30,349,326,0,0,51,2,326,24,0,2,27,0
Lirangwe Health Centre,201706,198,148,67,0,87,196,130,154,0,259,178,220,15,0,0,15,398,384,0,1,27,1,385,12,0,1,15,0
Lundu Health Centre,201704,131,317,81,0,91,202,236,306,0,223,115,399,15,0,0,33,496,499,0,1,28,1,500,14,0,1,14,0
Lundu Health Centre,201705,144,347,89,2,86,242,250,395,1,184,102,464,13,0,1,66,514,551,0,2,26,1,552,13,0,1,13,1
Lundu Health Centre,201706,91,183,106,0,28,171,181,229,4,147,58,314,8,0,0,53,327,357,0,2,21,0,359,10,0,0,11,0
South Lunzu Health Centre,201704,376,453,159,0,77,433,478,279,76,633,199,721,68,0,0,95,893,859,0,0,129,0,859,61,0,0,68,0
South Lunzu Health Centre,201705,738,607,259,0,300,645,659,652,94,858,430,1049,125,0,0,149,1455,1363,0,0,239,2,1363,114,0,2,125,0
South Lunzu Health Centre,201706,718,517,158,1,365,547,480,655,30,708,562,754,76,0,1,108,1285,1243,0,0,147,3,1243,71,0,3,76,0
Zingwangwa Health Centre,201704,255,264,327,0,52,333,461,481,0,365,144,625,77,0,0,70,776,690,0,0,154,2,690,77,0,2,77,0
Zingwangwa Health Centre,201705,311,364,323,0,55,458,485,549,6,443,197,687,114,0,0,107,891,770,0,0,228,0,770,114,0,0,114,0
Zingwangwa Health Centre,201706,278,208,348,0,53,357,424,420,10,404,142,586,106,0,0,83,751,670,0,0,164,0,670,58,0,0,106,0
Chileka Sda Health Centre,201704,19,33,6,0,5,21,32,17,0,41,9,43,1,5,0,8,50,53,0,0,5,0,53,2,0,0,3,0
Chileka Sda Health Centre,201705,22,56,13,3,15,24,49,46,1,44,20,58,7,5,1,4,87,69,0,1,19,2,70,9,0,0,10,2
Chileka Sda Health Centre,201706,18,18,4,0,6,9,25,20,0,20,9,22,4,5,0,6,34,33,0,0,7,0,33,3,0,0,4,0
Namikoko Health Centre,201704,13,15,7,0,7,11,17,10,0,25,8,27,0,0,0,2,33,34,0,0,1,0,31,3,0,1,0,0
